team,window,rush_yds_games,rush_yds_mean,rush_yds_median,rush_yds_std,rush_yds_min,rush_yds_p25,rush_yds_p75,rush_yds_max,rush_yds_hit_20,rush_yds_hit_25,rush_yds_hit_30,rush_yds_hit_35,rush_yds_hit_40,rush_att_mean,rush_att_median,ypc_mean,rush_yds_hit_45,rush_yds_hit_55,rush_yds_hit_65,rush_yds_hit_75,rush_yds_hit_50,rush_yds_hit_60,rush_yds_hit_70,rush_yds_hit_80,rush_yds_hit_100,rush_yds_hit_120
SEA,1H,17,53.1764705882353,50.0,28.826530456013746,3.0,39.0,77.0,115.0,,,,0.7647058823529411,,13.294117647058824,13.0,4.0,0.6470588235294118,0.4117647058823529,0.29411764705882354,0.29411764705882354,,,,,,
SF,1H,17,54.11764705882353,48.0,37.42896386009287,9.0,31.0,61.0,173.0,,,,0.7058823529411765,,12.941176470588236,13.0,4.181818181818182,0.5882352941176471,0.29411764705882354,0.23529411764705882,0.17647058823529413,,,,,,
TB,1H,17,58.94117647058823,59.0,28.166460213680704,18.0,42.0,70.0,136.0,,,,0.8235294117647058,,14.176470588235293,13.0,4.157676348547718,0.7058823529411765,0.5294117647058824,0.35294117647058826,0.23529411764705882,,,,,,
TEN,1H,17,53.35294117647059,49.0,22.803356761336147,13.0,39.0,63.0,121.0,,,,0.8823529411764706,,12.235294117647058,12.0,4.360576923076923,0.6470588235294118,0.4117647058823529,0.23529411764705882,0.058823529411764705,,,,,,
WAS,1H,17,67.05882352941177,59.0,32.90891277135098,34.0,46.0,76.0,174.0,,,,0.9411764705882353,,13.823529411764707,14.0,4.851063829787234,0.7647058823529411,0.5882352941176471,0.4117647058823529,0.35294117647058826,,,,,,
ARI,Full Game,17,93.11764705882354,89.0,35.93929907487178,36.0,72.0,119.0,168.0,,,,,,21.529411764705884,22.0,4.325136612021858,,,,,0.8823529411764706,0.7647058823529411,0.7647058823529411,0.6470588235294118,0.35294117647058826,0.23529411764705882
ATL,Full Game,17,125.76470588235294,125.0,54.17675799885441,45.0,71.0,152.0,219.0,,,,,,28.058823529411764,29.0,4.482180293501048,,,,,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.7058823529411765,0.7058823529411765,0.6470588235294118
BAL,Full Game,17,156.58823529411765,166.0,64.70754008571673,44.0,123.0,184.0,307.0,,,,,,29.823529411764707,30.0,5.2504930966469425,,,,,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.7647058823529411
BUF,Full Game,17,159.64705882352942,157.0,48.00482963015356,87.0,120.0,183.0,249.0,,,,,,32.1764705882353,31.0,4.961608775137112,,,,,1.0,1.0,1.0,1.0,0.8823529411764706,0.7647058823529411
CAR,Full Game,17,116.29411764705883,113.0,54.73547586656299,19.0,73.0,129.0,239.0,,,,,,27.11764705882353,28.0,4.288503253796096,,,,,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.7058823529411765,0.6470588235294118,0.4117647058823529
CHI,Full Game,17,144.47058823529412,138.0,62.47457614389922,65.0,99.0,150.0,283.0,,,,,,29.705882352941178,27.0,4.863366336633663,,,,,1.0,1.0,0.8823529411764706,0.8823529411764706,0.7058823529411765,0.5882352941176471
CIN,Full Game,17,93.58823529411765,100.0,40.34565188837055,46.0,53.0,120.0,181.0,,,,,,22.41176470588235,23.0,4.175853018372703,,,,,0.8235294117647058,0.6470588235294118,0.5882352941176471,0.5882352941176471,0.5294117647058824,0.35294117647058826
CLE,Full Game,17,97.0,96.0,35.6155947337019,49.0,65.0,118.0,160.0,,,,,,24.764705882352942,25.0,3.9168646080760094,,,,,0.9411764705882353,0.8823529411764706,0.6470588235294118,0.5294117647058824,0.47058823529411764,0.23529411764705882
DAL,Full Game,17,125.6470588235294,123.0,37.22576776195661,31.0,114.0,138.0,211.0,,,,,,27.352941176470587,28.0,4.593548387096774,,,,,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8235294117647058,0.5882352941176471
DEN,Full Game,17,118.70588235294117,118.0,34.34901266820164,59.0,89.0,142.0,186.0,,,,,,26.823529411764707,27.0,4.425438596491228,,,,,1.0,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.7058823529411765,0.4117647058823529
DET,Full Game,17,120.05882352941177,109.0,63.48086380322933,15.0,70.0,164.0,237.0,,,,,,26.0,27.0,4.617647058823529,,,,,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.6470588235294118,0.5882352941176471,0.35294117647058826
GB,Full Game,17,119.82352941176471,117.0,30.799609038996213,78.0,94.0,135.0,192.0,,,,,,28.941176470588236,27.0,4.140243902439025,,,,,1.0,1.0,1.0,0.8823529411764706,0.7058823529411765,0.47058823529411764
HOU,Full Game,17,108.94117647058823,108.0,30.58348379385282,56.0,83.0,130.0,167.0,,,,,,27.941176470588236,28.0,3.8989473684210525,,,,,1.0,0.9411764705882353,0.9411764705882353,0.8235294117647058,0.5882352941176471,0.35294117647058826
IND,Full Game,17,118.05882352941177,96.0,62.6563649536434,55.0,76.0,150.0,323.0,,,,,,26.0,25.0,4.540723981900452,,,,,1.0,0.8823529411764706,0.8235294117647058,0.7058823529411765,0.47058823529411764,0.4117647058823529
JAX,Full Game,17,115.05882352941177,108.0,40.28497105290711,59.0,86.0,139.0,200.0,,,,,,28.764705882352942,27.0,4.0,,,,,1.0,0.9411764705882353,0.8823529411764706,0.8235294117647058,0.5882352941176471,0.4117647058823529
KC,Full Game,17,106.58823529411765,112.0,33.76398851461754,49.0,82.0,126.0,158.0,,,,,,25.294117647058822,23.0,4.213953488372093,,,,,0.9411764705882353,0.8823529411764706,0.8235294117647058,0.7647058823529411,0.5882352941176471,0.35294117647058826
LA,Full Game,17,126.58823529411765,124.0,44.76482182871279,70.0,89.0,152.0,249.0,,,,,,27.352941176470587,26.0,4.627956989247312,,,,,1.0,1.0,1.0,0.7647058823529411,0.7058823529411765,0.5294117647058824
LAC,Full Game,17,121.58823529411765,115.0,45.26270874316036,42.0,90.0,152.0,207.0,,,,,,27.41176470588235,27.0,4.435622317596566,,,,,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.6470588235294118,0.47058823529411764
