game_id,week,team,window,opponent,player_id,pbp_player_name,gsis_id,player_name,position,rush_att,rush_yds,site,team_rush_att,team_rush_yds,carry_share,yard_share
2025_01_CAR_JAX,1,JAX,Q1,CAR,00-0040238,L.Allen,00-0040238,LeQuint Allen Jr.,RB,0,0.0,H,4,18.0,0.0,0.0
2025_01_CAR_JAX,1,JAX,Q1,CAR,00-0040719,B.Tuten,00-0040719,Bhayshul Tuten,RB,0,0.0,H,4,18.0,0.0,0.0
2025_01_CAR_JAX,1,CAR,Q1,JAX,00-0040644,T.Etienne,00-0040644,Trevor Etienne,RB,0,0.0,A,7,25.0,0.0,0.0
2025_01_CAR_JAX,1,CAR,Q1,JAX,00-0036139,R.Dowdle,00-0036139,Rico Dowdle,RB,0,0.0,A,7,25.0,0.0,0.0
2025_01_CAR_JAX,1,JAX,Q1,CAR,00-0038555,T.Bigsby,00-0038555,Tank Bigsby,RB,0,0.0,H,4,18.0,0.0,0.0
2025_01_CIN_CLE,1,CIN,Q1,CLE,00-0038597,C.Brown,00-0038597,Chase Brown,RB,7,29.0,A,7,29.0,1.0,1.0
2025_01_CIN_CLE,1,CLE,Q1,CIN,00-0040162,D.Sampson,00-0040162,Dylan Sampson,RB,2,5.0,H,6,14.0,0.3333333333333333,0.35714285714285715
2025_01_CIN_CLE,1,CLE,Q1,CIN,00-0037267,J.Ford,00-0037267,Jerome Ford,RB,2,4.0,H,6,14.0,0.3333333333333333,0.2857142857142857
2025_01_CIN_CLE,1,CLE,Q1,CIN,00-0040466,R.Sanders,00-0040466,Raheim Sanders,RB,1,2.0,H,6,14.0,0.16666666666666666,0.14285714285714285
2025_01_DAL_PHI,1,DAL,Q1,PHI,00-0036997,J.Williams,00-0036997,Javonte Williams,RB,7,33.0,A,8,37.0,0.875,0.8918918918918919
2025_01_DAL_PHI,1,PHI,Q1,DAL,00-0034844,S.Barkley,00-0034844,Saquon Barkley,RB,4,20.0,H,8,56.0,0.5,0.35714285714285715
2025_01_DAL_PHI,1,PHI,Q1,DAL,00-0039746,W.Shipley,00-0039746,Will Shipley,RB,2,25.0,H,8,56.0,0.25,0.44642857142857145
2025_01_DAL_PHI,1,DAL,Q1,PHI,00-0035243,M.Sanders,00-0035243,Miles Sanders,RB,0,0.0,A,8,37.0,0.0,0.0
2025_01_DAL_PHI,1,PHI,Q1,DAL,00-0036265,A.Dillon,00-0036265,AJ Dillon,RB,0,0.0,H,8,56.0,0.0,0.0
2025_01_DET_GB,1,GB,Q1,DET,00-0035700,J.Jacobs,00-0035700,Josh Jacobs,RB,5,8.0,H,6,11.0,0.8333333333333334,0.7272727272727273
2025_01_DET_GB,1,DET,Q1,GB,00-0039139,J.Gibbs,00-0039139,Jahmyr Gibbs,RB,3,20.0,A,5,29.0,0.6,0.6896551724137931
2025_01_DET_GB,1,DET,Q1,GB,00-0035685,D.Montgomery,00-0035685,David Montgomery,RB,2,9.0,A,5,29.0,0.4,0.3103448275862069
2025_01_DET_GB,1,GB,Q1,DET,00-0038685,C.Brooks,00-0038685,Chris Brooks,RB,0,0.0,H,6,11.0,0.0,0.0
2025_01_DET_GB,1,GB,Q1,DET,00-0038797,E.Wilson,00-0038797,Emanuel Wilson,RB,0,0.0,H,6,11.0,0.0,0.0
2025_01_HOU_LA,1,HOU,Q1,LA,00-0034791,N.Chubb,00-0034791,Nick Chubb,RB,3,6.0,A,7,23.0,0.42857142857142855,0.2608695652173913
