team_depth,depth_player_name,player_id,pos_slot,pos_rank,depth_snapshot_utc,depth_source,team_rb_order,player_name,team_hist,q1_rush_yds_games,q1_rush_yds_mean,q1_rush_yds_median,q1_rush_yds_std,q1_rush_yds_min,q1_rush_yds_p25,q1_rush_yds_p75,q1_rush_yds_max,q1_rush_yds_hit_15,q1_rush_yds_hit_20,q1_rush_yds_hit_25,q1_rush_att_mean,q1_rush_att_median,q1_rush_att_max,rb_q1_carry_share_mean,rb_q1_yard_share_mean,hist_data_available,same_team_2025_2026,depth_default_room_share,role_confidence
MIA,De'Von Achane,00-0039040,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,De'Von Achane,MIA,16.0,32.375,26.0,20.817285485864865,0.0,15.75,51.0,67.0,0.75,0.6875,0.6875,3.9375,4.5,6.0,0.6983382936507937,0.796842022246199,True,True,0.68,0.97
MIA,Jaylen Wright,00-0039874,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Jaylen Wright,MIA,9.0,4.111111111111111,4.0,3.107140323135458,0.0,2.0,7.0,9.0,0.0,0.0,0.0,1.4444444444444444,1.0,4.0,0.1814975148308481,0.0750604789807298,True,True,0.25,0.72
MIA,Ollie Gordon II,00-0040198,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Ollie Gordon II,MIA,16.0,2.5625,0.0,4.107443700161939,-1.0,0.0,3.75,11.0,0.0,0.0,0.0,1.0625,1.0,5.0,0.1361471861471861,0.0778792811293381,True,True,0.07,0.97
MIN,Aaron Jones Sr.,00-0033293,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Aaron Jones,MIN,12.0,14.166666666666666,8.5,13.024549469708688,-1.0,4.5,25.25,35.0,0.4166666666666667,0.3333333333333333,0.25,4.0,3.5,9.0,0.6278439153439154,0.56770785439462,True,True,0.68,0.9
MIN,Jordan Mason,00-0037525,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Jordan Mason,MIN,16.0,8.5,6.0,8.162413858657255,0.0,1.75,13.0,26.0,0.25,0.1875,0.0625,2.25,2.0,5.0,0.4111111111111111,0.4471765648442205,True,True,0.25,0.97
MIN,Demond Claiborne,00-0041104,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,,,,,,,,,,,,,,,,,,,False,False,0.07,0.55
NE,Rhamondre Stevenson,00-0036875,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Rhamondre Stevenson,NE,14.0,21.714285714285715,18.0,20.768893537584283,-2.0,6.25,27.75,67.0,0.5,0.5,0.4285714285714285,3.2857142857142856,3.0,7.0,0.42388147566719,0.4165663395057764,True,True,0.68,0.9
NE,TreVeyon Henderson,00-0040734,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,TreVeyon Henderson,NE,17.0,11.411764705882351,11.0,8.918314424818783,0.0,5.0,17.0,30.0,0.3529411764705882,0.1176470588235294,0.1176470588235294,2.647058823529412,2.0,7.0,0.3550204697263521,0.3563012236748944,True,True,0.25,0.97
NE,Corey Kiner,00-0040556,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Corey Kiner,ARI,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.07,0.72
NO,Travis Etienne Jr.,00-0036973,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Travis Etienne,JAX,17.0,13.058823529411764,12.0,12.06097541775464,-3.0,6.0,16.0,51.0,0.3529411764705882,0.1764705882352941,0.1176470588235294,3.647058823529412,4.0,7.0,0.6545518207282913,0.5661493637884562,True,False,0.68,0.72
NO,Alvin Kamara,00-0033906,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Alvin Kamara,NO,11.0,15.909090909090908,14.0,6.8284770757141535,6.0,11.5,20.0,28.0,0.4545454545454545,0.2727272727272727,0.1818181818181818,3.909090909090909,3.0,9.0,0.6414141414141414,0.6887753069510055,True,True,0.25,0.9
